rank,account,deposits,withdrawals,total_deposited_xlm,days_active,first_seen_utc,last_seen_utc,first_tx_hash,explorer_url
1,GCXYOFNEKSMLS5JRDGOKLTHN6YE26TZGCQ3VN76K66AIHQXNKJPKJOU5,1,2,100.0000000,1,2026-07-27T17:00:32.000Z,2026-07-27T17:05:03.000Z,87ad5e0fdf91466fd21dbfdff807c997d5f44da52d1e9492a20e14e31e54d01d,https://stellar.expert/explorer/testnet/tx/87ad5e0fdf91466fd21dbfdff807c997d5f44da52d1e9492a20e14e31e54d01d
2,GDPHDT44YGLSXXDHO7JFYPEUKVLNGT26PLYUE7LHOP7GPSPM23GDILPA,1,1,100.0000000,1,2026-07-27T20:58:07.000Z,2026-07-27T20:59:08.000Z,7fa7d58f8b6eaf2478aafb7f6348ebe34c997c2673529069e7f252701bbbe21c,https://stellar.expert/explorer/testnet/tx/7fa7d58f8b6eaf2478aafb7f6348ebe34c997c2673529069e7f252701bbbe21c
3,GBT65RKKAYUUH2ZCOVEV7WHGAHFPM7566MN2TEW57VV6AXQL4XCOYELY,2,0,257.0000000,1,2026-07-28T02:57:13.000Z,2026-07-28T08:02:22.000Z,0282adcd19641b757dd0db95fdf222d43ba308dd903a347241d1f27a56cf9592,https://stellar.expert/explorer/testnet/tx/0282adcd19641b757dd0db95fdf222d43ba308dd903a347241d1f27a56cf9592
4,GA4OO4HE3OKZAZDAEY73SK4QNDCUCHFGZVLWTIET6PD4U3LWTFTXRRY3,1,1,40.0000000,1,2026-07-28T02:57:24.000Z,2026-07-28T03:00:19.000Z,5058be6f7038152df69833c94dca670eaf8e8711a53ee7a285f4745d3e478b75,https://stellar.expert/explorer/testnet/tx/5058be6f7038152df69833c94dca670eaf8e8711a53ee7a285f4745d3e478b75
5,GAV6BFKUIZHPJ3MYJWIGTXNOLO3N4S7UYHPCPVXL2JOWY2FURMVWPRLA,1,0,1750.0000000,1,2026-07-28T02:57:34.000Z,2026-07-28T02:57:34.000Z,7b2b5901dd9b9432819f58df221bda33c6714c5d7d0ea3b0aed526c53a07c3e1,https://stellar.expert/explorer/testnet/tx/7b2b5901dd9b9432819f58df221bda33c6714c5d7d0ea3b0aed526c53a07c3e1
6,GBHWRNWHCA7YONSJXV4XFUZSFO3YRA4O6MYKRFCP7MC2T52L3IM5RVLD,1,0,85.0000000,1,2026-07-28T02:58:14.000Z,2026-07-28T02:58:14.000Z,889255bc539892683bdc34c1107f15a27f527cdf32f1837d56469f7da428d4e2,https://stellar.expert/explorer/testnet/tx/889255bc539892683bdc34c1107f15a27f527cdf32f1837d56469f7da428d4e2
7,GDVK7L3AHSNTBVWQX7KXG4FJDC22CYLHTP27Y46HCVFVIQSB34PK4VWO,1,1,620.0000000,1,2026-07-28T02:58:29.000Z,2026-07-28T03:00:29.000Z,5c4ffdbda7105d33d4624c247392fdabce4558a93dbaae20e800e75111b4aa19,https://stellar.expert/explorer/testnet/tx/5c4ffdbda7105d33d4624c247392fdabce4558a93dbaae20e800e75111b4aa19
8,GDQCCMBN555I2MFHUFSHQ6I2N5QHEPIE55264E7AOX5ILTCY35NNKGHF,1,0,15.0000000,1,2026-07-28T02:58:44.000Z,2026-07-28T02:58:44.000Z,527761bcf72e6edc3013905620dd97c67a317442b0b4bb5aafea24383402592b,https://stellar.expert/explorer/testnet/tx/527761bcf72e6edc3013905620dd97c67a317442b0b4bb5aafea24383402592b
9,GAKSBWQG4WMW52EQXY6ETUCXVNVMUTYNC573KMCTJ3RHECU7KB7IXMKP,1,0,430.0000000,1,2026-07-28T02:59:19.000Z,2026-07-28T02:59:19.000Z,e77ab1a3a2b54e58a62b44283376fc6a9f3c8401f116fe20933f6ec5d8abcd34,https://stellar.expert/explorer/testnet/tx/e77ab1a3a2b54e58a62b44283376fc6a9f3c8401f116fe20933f6ec5d8abcd34
10,GDJHNYJQQMLBHDEFBJ5MBSR4XCSRXXGLNGAZUBTSHGMQWL5DQWYMN4EK,1,0,95.0000000,1,2026-07-28T02:59:34.000Z,2026-07-28T02:59:34.000Z,7446e941c6ec0110a47f79d22548726982f87efcf722ec724f81a3f10dd1fbb2,https://stellar.expert/explorer/testnet/tx/7446e941c6ec0110a47f79d22548726982f87efcf722ec724f81a3f10dd1fbb2
11,GDPCZ2MTS4SIGMY3GR74753YVHE7B27F66S37RFRH5K6ZZYZ72UOHWFS,1,0,1200.0000000,1,2026-07-28T02:59:49.000Z,2026-07-28T02:59:49.000Z,471cbc13cb1abb1e80004a08aafcc1673a38ba3e27329df30f8e9c8fa545a602,https://stellar.expert/explorer/testnet/tx/471cbc13cb1abb1e80004a08aafcc1673a38ba3e27329df30f8e9c8fa545a602
