metric,value,unit
network,testnet,
vault_contract,CDONRBWSSLXWLB7YN6SI4MDBIFTXBKBZTKOGRL537LP4RGAIXDLBHMQX,
share_token_contract,CAEEI27XLJHMJBI25PL36DJ7FEK6TMVCQ7TP2PRQ4EXFVOUK5NI464CT,
exported_at_utc,2026-08-14T08:36:22.981Z,
unique_depositors,1,wallets
depositors_active_on_more_than_one_day,0,wallets
deposits,1,transactions
withdrawals,1,transactions
total_deposited,100.0000000,XLM
total_withdrawn,99.9999606,XLM
tvl,0.0001001,XLM
share_price,1.0009990,XLM per nXLM
harvests,1,transactions
gross_yield_realized,0.0000675,XLM
protocol_fees_taken,0.0000067,XLM
realized_apy,,percent
realized_apy_window,,hours
first_activity_utc,2026-08-14T07:57:41.000Z,
last_activity_utc,2026-08-14T07:58:16.000Z,
